file,split,angle
0.png,val,41.9
1.png,val,136.1
2.png,val,263.3
3.png,val,115.1
4.png,val,334.1
5.png,val,272.9
6.png,train,260.8
7.png,train,115.8
8.png,train,328.5
9.png,train,139.8
10.png,train,41.5
11.png,train,284.4
12.png,train,238.8
13.png,train,106.8
14.png,train,3.2
15.png,train,270.0
16.png,train,1.6
17.png,train,116.6
18.png,train,358.3
19.png,train,107.6
20.png,train,232.8
21.png,train,138.4
22.png,train,23.6
23.png,train,255.2
24.png,train,317.4
25.png,train,75.2
26.png,train,209.7
27.png,train,180.0
28.png,train,348.1
29.png,train,225.4
30.png,train,229.4
31.png,train,199.0
32.png,train,303.7
33.png,train,108.7
34.png,train,295.1
35.png,train,183.4
36.png,train,323.8
37.png,train,85.1
38.png,train,186.9
39.png,train,162.1
40.png,train,273.7
41.png,train,162.1
42.png,train,323.8
43.png,train,64.8
44.png,train,216.2
45.png,train,190.0
46.png,train,249.4
47.png,train,110.8
48.png,train,276.0
49.png,train,33.2
50.png,train,233.6
51.png,train,151.6
52.png,train,229.4
53.png,train,89.4
54.png,val,247.3
55.png,val,0.6
56.png,val,198.2
57.png,val,122.3
58.png,val,196.4
59.png,val,70.7
60.png,train,226.3
61.png,train,350.4
62.png,train,185.0
63.png,train,96.5
64.png,train,163.2
65.png,train,59.9
66.png,train,160.1
67.png,train,320.8
68.png,train,225.5
69.png,train,62.5
70.png,train,127.8
71.png,train,121.8
72.png,train,321.8
73.png,train,129.0
74.png,train,94.8
75.png,train,90.0
76.png,train,17.5
77.png,train,246.2
78.png,train,103.9
79.png,train,322.6
80.png,train,284.1
81.png,train,339.7
82.png,train,85.2
83.png,train,69.0
84.png,train,112.5
85.png,train,69.6
86.png,train,58.0
87.png,train,320.4
88.png,train,285.4
89.png,train,335.4
90.png,val,87.4
91.png,val,324.8
92.png,val,259.5
93.png,val,292.8
94.png,val,57.9
95.png,val,70.3
96.png,train,86.7
97.png,train,310.7
98.png,train,246.2
99.png,train,261.8
100.png,train,58.1
101.png,train,26.7
102.png,val,84.2
103.png,val,309.4
104.png,val,244.2
105.png,val,304.6
106.png,val,25.7
107.png,val,23.8
108.png,train,82.1
109.png,train,306.5
110.png,train,231.8
111.png,train,338.2
112.png,train,19.6
113.png,train,22.1
114.png,val,83.8
115.png,val,275.0
116.png,val,271.6
117.png,val,300.8
118.png,val,349.8
119.png,val,0.0
120.png,train,54.1
121.png,train,278.3
122.png,train,268.5
123.png,train,298.2
124.png,train,301.3
125.png,train,325.4
126.png,train,53.0
127.png,train,277.6
128.png,train,270.0
129.png,train,318.5
130.png,train,300.3
131.png,train,319.8
132.png,val,29.4
133.png,val,259.7
134.png,val,220.8
135.png,val,317.7
136.png,val,334.2
137.png,val,325.1
138.png,train,32.7
139.png,train,293.4
140.png,train,334.1
141.png,train,2.3
142.png,train,298.7
143.png,train,224.0
144.png,val,14.4
145.png,val,290.4
146.png,val,340.9
147.png,val,16.6
148.png,val,297.3
149.png,val,197.0
150.png,val,72.6
151.png,val,213.9
152.png,val,123.1
153.png,train,69.7
154.png,train,107.9
155.png,train,124.4
156.png,train,70.5
157.png,train,27.5
158.png,train,69.9
159.png,train,72.5
160.png,train,130.5
161.png,train,70.1
162.png,train,341.9
163.png,train,80.8
164.png,train,258.5
165.png,train,5.6
166.png,train,149.3
167.png,val,165.6
168.png,val,342.4
169.png,val,261.1
170.png,val,126.7
171.png,train,129.4
172.png,train,356.2
173.png,train,84.2
174.png,train,35.2
175.png,train,129.8
176.png,train,40.8
177.png,train,357.6
178.png,train,84.0
179.png,val,351.3
180.png,val,53.9
181.png,val,139.4
182.png,val,32.8
183.png,train,352.1
184.png,train,14.6
185.png,train,141.3
186.png,train,73.1
187.png,train,351.8
188.png,train,72.5
189.png,train,0.6
190.png,train,140.0
191.png,train,331.8
192.png,train,53.9
193.png,train,353.3
194.png,train,48.5
195.png,train,182.4
196.png,train,281.0
197.png,train,142.3
198.png,train,270.6
199.png,train,179.8
200.png,train,195.6
201.png,train,2.2
202.png,train,279.1
203.png,train,308.4
204.png,train,16.9
205.png,val,186.0
206.png,val,359.3
207.png,val,81.2
208.png,val,85.4
209.png,val,13.9
210.png,val,312.2
211.png,train,122.8
212.png,train,293.6
213.png,train,82.3
214.png,train,314.5
215.png,train,290.9
216.png,train,250.2
217.png,train,123.7
218.png,train,295.7
219.png,train,83.1
220.png,train,249.1
221.png,train,289.8
222.png,train,51.3
223.png,val,58.4
224.png,val,227.7
225.png,val,79.1
226.png,val,216.3
227.png,val,61.6
228.png,train,213.8
229.png,train,58.1
230.png,train,58.3
231.png,train,227.5
232.png,train,76.7
233.png,train,230.9
234.png,train,77.8
235.png,train,57.4
236.png,train,213.8
237.png,train,61.4
238.png,train,229.4
239.png,train,78.9
240.png,train,61.5
241.png,train,216.8
242.png,train,65.6
243.png,val,62.9
244.png,val,231.9
245.png,val,81.6
246.png,val,59.5
247.png,val,215.6
248.png,train,63.7
249.png,train,217.3
250.png,train,60.8
251.png,train,230.8
252.png,train,79.2
253.png,train,291.8
254.png,train,53.8
255.png,train,331.3
256.png,train,12.1
257.png,train,189.3
258.png,train,55.7
259.png,train,333.7
260.png,train,10.4
261.png,train,12.7
262.png,train,146.5
263.png,train,189.1
264.png,train,47.3
265.png,train,9.0
266.png,train,145.3
267.png,train,190.4
268.png,train,13.2
269.png,train,79.2
270.png,train,169.0
271.png,train,278.6
272.png,train,78.7
273.png,train,249.7
274.png,train,10.0
275.png,train,164.7
276.png,train,169.1
277.png,train,6.1
278.png,train,56.2
279.png,train,164.3
280.png,train,78.5
281.png,train,353.5
282.png,train,3.5
283.png,train,86.5
284.png,train,328.6
285.png,train,307.8
286.png,train,84.8
287.png,train,105.9
288.png,train,270.5
289.png,train,87.3
290.png,train,39.0
291.png,train,309.8
292.png,train,37.8
293.png,train,104.0
294.png,val,246.8
295.png,val,87.5
296.png,val,37.9
297.png,val,106.4
298.png,val,39.2
299.png,val,355.2
300.png,val,253.6
301.png,val,86.8
302.png,val,36.5
303.png,val,23.3
304.png,val,34.8
305.png,val,287.6
306.png,val,2.3
307.png,val,305.9
308.png,val,288.3
309.png,val,302.1
310.png,val,201.9
311.png,val,167.4
312.png,train,213.7
313.png,train,204.1
314.png,train,216.9
315.png,train,107.6
316.png,train,80.7
317.png,train,303.5
318.png,train,333.8
319.png,train,281.8
320.png,train,281.6
321.png,train,218.2
322.png,train,86.2
323.png,train,133.3
324.png,train,178.5
325.png,train,207.0
326.png,train,185.8
327.png,train,346.7
328.png,train,51.0
329.png,train,274.1
330.png,train,253.0
331.png,train,24.9
332.png,train,140.9
333.png,train,138.2
334.png,train,309.9
335.png,train,103.0
336.png,train,243.2
337.png,train,24.0
338.png,train,35.0
339.png,train,178.9
340.png,train,326.5
341.png,train,156.4
342.png,train,149.3
343.png,train,317.9
344.png,train,82.9
345.png,train,168.1
346.png,train,157.2
347.png,train,318.7
348.png,train,78.6
349.png,train,149.6
350.png,train,156.7
351.png,train,182.5
352.png,train,17.1
353.png,train,105.5
354.png,train,114.3
355.png,train,148.6
356.png,train,307.7
357.png,train,57.0
358.png,train,359.4
359.png,train,117.3
360.png,train,144.1
361.png,train,54.1
362.png,train,27.6
363.png,train,100.2
364.png,train,144.1
365.png,train,133.2
366.png,train,95.7
367.png,train,314.7
368.png,train,104.5
369.png,train,282.2
370.png,train,292.4
371.png,val,41.9
372.png,val,136.1
373.png,val,263.3
374.png,val,115.1
375.png,val,334.1
376.png,val,272.9
377.png,train,41.7786
378.png,train,135.8944
379.png,train,262.7018
380.png,train,114.3098
381.png,train,334.0914
382.png,train,272.0765
383.png,val,37.8141
384.png,val,132.0141
385.png,val,259.2141
386.png,val,111.0141
387.png,val,330.0141
388.png,val,268.8141
389.png,val,41.9
390.png,val,136.1
391.png,val,263.3
392.png,val,115.1
393.png,val,334.1
394.png,val,272.9
395.png,train,41.9
396.png,train,136.1
397.png,train,263.3
398.png,train,115.1
399.png,train,334.1
400.png,train,272.9
401.png,val,260.8
402.png,val,115.8
403.png,val,328.5
404.png,val,139.8
405.png,val,41.5
406.png,val,284.4
407.png,val,260.8
408.png,val,115.8
409.png,val,328.5
410.png,val,139.8
411.png,val,41.5
412.png,val,284.4
413.png,val,260.8
414.png,val,115.8
415.png,val,328.5
416.png,val,139.8
417.png,val,41.5
418.png,val,284.4
419.png,val,263.9902
