center_x,center_y,bbox_x,bbox_y,bbox_w,bbox_h,bbox_rotation,angle_deg,image,bbox_rot
343.5,89.6,326.0,68.6,38.5,37.9,0.0,41.9,2659ffa5-color.png,
345.3,145.0,326.0,125.7,40.3,36.1,0.0,136.1,2659ffa5-color.png,
346.5,200.9,332.0,179.8,29.5,43.9,0.0,263.3,2659ffa5-color.png,
413.2,200.9,398.8,178.6,29.5,42.1,0.0,115.1,2659ffa5-color.png,
412.0,143.2,393.4,125.7,40.9,33.7,0.0,334.1,2659ffa5-color.png,
411.4,84.8,397.6,65.0,27.7,46.3,0.0,272.9,2659ffa5-color.png,
362.7,193.7,348.2,171.4,29.6,44.0,0.0,260.8,dd60aa44-color.png,
429.5,192.5,413.4,172.0,31.9,40.9,0.0,115.8,dd60aa44-color.png,
429.5,135.9,410.1,120.3,38.9,31.7,0.0,328.5,dd60aa44-color.png,
362.1,136.5,343.3,119.9,35.4,33.8,0.0,139.8,dd60aa44-color.png,
359.7,80.6,341.7,62.6,37.3,36.7,0.0,41.5,dd60aa44-color.png,
427.7,77.6,413.8,58.9,29.5,42.7,0.0,284.4,dd60aa44-color.png,
362.7,195.5,348.4,173.0,28.7,40.3,0.0,238.8,26ec68e2-color.png,
362.7,138.3,348.1,116.0,29.5,42.9,0.0,106.8,26ec68e2-color.png,
359.7,80.6,340.5,66.8,41.9,28.8,0.0,3.2,26ec68e2-color.png,
428.9,78.2,413.3,58.7,29.4,41.7,0.0,270.0,26ec68e2-color.png,
428.9,136.5,407.3,120.6,43.6,30.4,0.0,1.6,26ec68e2-color.png,
429.5,195.5,414.3,172.0,29.5,40.9,0.0,116.6,26ec68e2-color.png,
361.5,79.4,337.9,67.9,44.1,27.7,0.0,358.3,6f323235-color.png,
362.7,137.7,347.5,115.9,28.9,43.3,0.0,107.6,6f323235-color.png,
363.3,195.5,348.1,172.6,29.0,41.8,0.0,232.8,6f323235-color.png,
428.9,193.7,409.0,176.3,39.9,32.0,0.0,138.4,6f323235-color.png,
429.5,136.5,407.8,121.0,42.9,28.8,0.0,23.6,6f323235-color.png,
427.7,78.8,415.7,61.8,27.4,39.2,0.0,255.2,6f323235-color.png,
359.1,80.0,345.8,64.3,32.7,34.3,0.0,317.4,07865578-color.png,
360.3,137.7,346.4,116.4,28.9,42.9,0.0,75.2,07865578-color.png,
361.5,193.7,342.9,179.6,40.3,28.4,0.0,209.7,07865578-color.png,
428.9,194.9,407.8,178.1,42.9,29.4,0.0,180.0,07865578-color.png,
427.1,135.9,407.2,120.9,43.6,29.6,0.0,348.1,07865578-color.png,
428.9,78.2,409.4,61.5,37.5,36.0,0.0,225.4,07865578-color.png,
362.7,193.1,345.4,175.1,33.0,37.6,0.0,229.4,f05074cb-color.png,
429.5,193.1,408.3,178.8,42.5,28.8,0.0,199.0,f05074cb-color.png,
429.5,135.9,413.7,115.5,30.4,40.0,0.0,303.7,f05074cb-color.png,
360.9,138.3,347.0,117.0,28.2,41.1,0.0,108.7,f05074cb-color.png,
359.7,80.0,346.1,59.7,27.9,42.0,0.0,295.1,f05074cb-color.png,
429.5,77.6,408.0,65.6,42.6,27.7,0.0,183.4,f05074cb-color.png,
360.9,81.2,344.1,66.9,35.8,30.8,0.0,323.8,47649de1-color.png,
360.9,140.2,347.1,115.8,27.9,43.5,0.0,85.1,47649de1-color.png,
362.7,194.9,341.6,178.7,42.5,29.6,0.0,186.9,47649de1-color.png,
430.1,193.7,407.7,178.4,43.9,29.5,0.0,162.1,47649de1-color.png,
429.5,136.5,414.6,113.9,28.7,42.3,0.0,273.7,47649de1-color.png,
429.5,78.8,406.7,64.1,44.2,28.7,0.0,162.1,47649de1-color.png,
361.5,80.0,344.0,65.4,36.5,31.8,0.0,323.8,04f3656c-color.png,
361.5,140.2,346.8,116.5,29.5,40.3,0.0,64.8,04f3656c-color.png,
362.1,193.7,344.5,176.9,37.3,32.6,0.0,216.2,04f3656c-color.png,
429.5,193.1,407.8,177.8,43.1,29.5,0.0,190.0,04f3656c-color.png,
429.5,135.9,414.6,114.7,29.7,43.1,0.0,249.4,04f3656c-color.png,
429.5,77.6,414.0,58.2,28.7,42.0,0.0,110.8,04f3656c-color.png,
360.3,79.5,346.5,61.8,28.5,39.6,0.0,276.0,f789f7cb-color.png,
360.9,137.1,343.2,121.7,38.3,30.9,0.0,33.2,f789f7cb-color.png,
362.4,194.1,346.3,173.0,32.0,40.2,0.0,233.6,f789f7cb-color.png,
429.7,193.9,408.6,178.6,42.3,29.3,0.0,151.6,f789f7cb-color.png,
430.7,135.9,413.1,116.0,34.0,39.4,0.0,229.4,f789f7cb-color.png,
430.3,78.7,415.5,57.0,28.6,44.4,0.0,89.4,f789f7cb-color.png,
360.5,79.1,346.8,59.5,28.3,41.7,0.0,247.3,5a8da514-color.png,
360.3,136.5,340.8,122.9,41.2,28.4,0.0,0.6,5a8da514-color.png,
362.7,194.9,342.9,178.9,40.8,29.8,0.0,198.2,5a8da514-color.png,
430.1,192.5,413.7,171.8,30.6,40.5,0.0,122.3,5a8da514-color.png,
429.0,135.6,407.9,120.8,43.1,30.2,0.0,196.4,5a8da514-color.png,
430.7,78.2,415.3,58.9,28.5,43.1,0.0,70.7,5a8da514-color.png,
360.9,78.8,343.4,61.7,35.2,36.8,0.0,226.3,e8063e46-color.png,
360.5,137.5,339.7,122.4,42.6,29.2,0.0,350.4,e8063e46-color.png,
363.3,194.3,341.6,179.8,42.9,28.6,0.0,185.0,e8063e46-color.png,
430.1,193.1,414.6,171.1,29.9,43.3,0.0,96.5,e8063e46-color.png,
430.1,135.9,407.8,121.7,43.5,29.2,0.0,163.2,e8063e46-color.png,
429.2,78.3,414.9,58.4,29.3,42.5,0.0,59.9,e8063e46-color.png,
363.0,193.9,341.3,179.6,41.9,28.7,0.0,160.1,7eb1d29b-color.png,
360.3,136.5,342.8,119.9,36.7,34.1,0.0,320.8,7eb1d29b-color.png,
361.5,78.8,343.5,63.5,34.6,35.0,0.0,225.5,7eb1d29b-color.png,
429.5,79.4,414.7,58.4,29.7,42.5,0.0,62.5,7eb1d29b-color.png,
430.5,136.5,412.7,116.3,33.8,39.0,0.0,127.8,7eb1d29b-color.png,
429.6,192.4,413.5,171.8,30.6,40.6,0.0,121.8,7eb1d29b-color.png,
359.7,137.3,343.1,119.6,36.3,34.4,0.0,321.8,a6f2e215-color.png,
360.9,195.5,345.0,175.2,34.0,36.3,0.0,129.0,a6f2e215-color.png,
429.5,193.1,414.4,171.2,28.9,43.0,0.0,94.8,a6f2e215-color.png,
