epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9877,1.98586,3.54677,1.58185,0.015,0.82895,0.02786,0.01092,1.54083,3.56256,1.13635,0.00012,0.00012,0.00012
2,29.8699,1.54886,2.30844,1.13985,0.0181,1,0.0534,0.02358,1.41604,3.31452,1.03454,0.000257426,0.000257426,0.000257426
3,48.6043,1.24406,1.5191,1.06813,0.01619,0.89474,0.0995,0.04783,1.37025,3.21477,1.08298,0.00039208,0.00039208,0.00039208
4,67.4925,1.20938,1.34424,1.06813,0.01714,0.94737,0.11594,0.05097,1.53408,3.19309,1.1708,0.000523962,0.000523962,0.000523962
5,86.4047,1.11105,1.21884,1.0318,0.01786,0.98684,0.38826,0.15792,1.52438,3.00122,1.18019,0.000653072,0.000653072,0.000653072
6,106.294,1.14218,1.16021,1.06786,0.8768,0.25,0.40494,0.14485,1.63399,2.86522,1.20949,0.00077941,0.00077941,0.00077941
7,127.479,1.08157,1.11474,1.04022,0.89518,0.22479,0.65388,0.27257,1.11398,2.61487,0.99374,0.000902976,0.000902976,0.000902976
8,148.829,1.0991,1.18878,1.03729,0.49619,0.35526,0.28848,0.11602,1.7765,2.77688,1.32765,0.00102377,0.00102377,0.00102377
9,167.364,1.05626,1.12003,1.00851,0.74759,0.47368,0.63706,0.21456,1.44154,2.54148,1.16205,0.00114179,0.00114179,0.00114179
10,186.027,1.03944,1.22209,1.00358,1,0.38021,0.94957,0.66825,0.96831,2.02385,0.9533,0.00125704,0.00125704,0.00125704
11,207.982,1.05784,1.10259,1.01662,0.92689,0.66733,0.93461,0.58031,1.10385,1.91417,0.98332,0.00136952,0.00136952,0.00136952
12,228.628,1.05315,1.10431,1.01165,0.93622,0.98684,0.99427,0.62548,1.23182,1.47969,1.03828,0.00147923,0.00147923,0.00147923
13,249.769,1.11603,0.99399,1.01616,0.98486,1,0.995,0.74877,0.93498,1.14129,0.9399,0.00158616,0.00158616,0.00158616
14,269.61,1.07645,1.06291,1.01632,0.98486,1,0.995,0.74877,0.93498,1.14129,0.9399,0.00169032,0.00169032,0.00169032
15,292.296,0.99442,1.0093,0.98515,0.96106,0.97424,0.99346,0.78032,0.82708,1.10693,0.91343,0.0017228,0.0017228,0.0017228
16,312.177,1.01007,1.03738,0.98325,0.98631,0.94767,0.9907,0.66275,1.10597,1.19535,0.99844,0.001703,0.001703,0.001703
17,331.72,0.97804,1.01414,0.98222,0.96934,0.98684,0.99372,0.67667,1.07076,0.9506,0.99574,0.0016832,0.0016832,0.0016832
18,356.039,0.9738,0.94622,0.98477,0.98206,1,0.99461,0.74362,0.93587,0.87302,0.98543,0.0016634,0.0016634,0.0016634
19,377.024,0.9445,0.94578,0.96682,0.97057,0.98684,0.98637,0.74574,0.85283,0.84845,0.96666,0.0016436,0.0016436,0.0016436
20,399.321,0.92045,0.85415,0.95,0.99217,0.97368,0.99461,0.70841,0.96157,0.83083,0.97064,0.0016238,0.0016238,0.0016238
21,422.587,0.89812,0.88959,0.95238,0.97904,1,0.99383,0.6962,1.02316,0.79218,0.96204,0.001604,0.001604,0.001604
22,444.986,0.9519,0.89035,0.95911,0.97904,1,0.99383,0.6962,1.02316,0.79218,0.96204,0.0015842,0.0015842,0.0015842
23,464.992,0.9139,0.87217,0.96281,0.94971,0.99398,0.99142,0.7572,0.89977,0.75678,0.92016,0.0015644,0.0015644,0.0015644
24,485.941,0.87986,0.81009,0.93941,0.97396,0.98449,0.99186,0.7919,0.75662,0.73934,0.88993,0.0015446,0.0015446,0.0015446
25,504,0.87786,0.78558,0.94257,0.99596,0.98684,0.99487,0.79882,0.70722,0.6606,0.87519,0.0015248,0.0015248,0.0015248
26,524.411,0.8239,0.76147,0.94125,0.99864,1,0.995,0.7731,0.78717,0.65223,0.89278,0.001505,0.001505,0.001505
27,545.638,0.86304,0.77796,0.94419,0.999,1,0.995,0.73344,0.89958,0.66644,0.92355,0.0014852,0.0014852,0.0014852
28,565.064,0.89832,0.75802,0.95601,0.99935,1,0.995,0.78175,0.74402,0.5994,0.88581,0.0014654,0.0014654,0.0014654
29,585.398,0.8616,0.73059,0.94207,0.99806,0.98684,0.99487,0.78669,0.73626,0.63289,0.87813,0.0014456,0.0014456,0.0014456
30,605.047,0.83836,0.7111,0.93022,0.99806,0.98684,0.99487,0.78669,0.73626,0.63289,0.87813,0.0014258,0.0014258,0.0014258
31,624.84,0.84529,0.69518,0.9325,1,0.99965,0.995,0.75639,0.84671,0.64748,0.90688,0.001406,0.001406,0.001406
32,648.252,0.80866,0.67784,0.91934,1,0.99757,0.995,0.76179,0.81741,0.62,0.90199,0.0013862,0.0013862,0.0013862
33,669.93,0.86197,0.6999,0.9346,0.99902,1,0.995,0.8121,0.7028,0.60525,0.87811,0.0013664,0.0013664,0.0013664
34,690.678,0.89189,0.74514,0.95533,0.99969,1,0.995,0.78656,0.76964,0.60147,0.89183,0.0013466,0.0013466,0.0013466
35,712.107,0.81716,0.68317,0.9158,0.999,1,0.995,0.68877,1.03657,0.6717,0.9602,0.0013268,0.0013268,0.0013268
