epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.4524,1.71057,1.97649,1.1338,0.77775,0.80705,0.78549,0.39909,1.41962,1.32354,1.00437,0.000659004,0.000659004,0.000659004
2,97.7415,1.29939,1.16535,0.98799,0.76502,0.92442,0.834,0.46304,1.33688,1.06871,0.97103,0.00127317,0.00127317,0.00127317
3,145.472,1.33516,1.09909,0.99768,0.911,0.92442,0.95598,0.56966,1.26734,0.94221,0.95526,0.00183454,0.00183454,0.00183454
4,193.619,1.22121,0.99146,0.96948,0.93047,0.95953,0.97923,0.62785,1.19305,0.9211,0.93038,0.0017624,0.0017624,0.0017624
5,242.943,1.19844,0.92177,0.95302,0.96921,0.99031,0.98296,0.62651,1.1929,0.85667,0.92995,0.0016832,0.0016832,0.0016832
6,299.707,1.15038,0.87966,0.94543,0.98887,0.97868,0.99378,0.6897,1.06526,0.77907,0.89844,0.001604,0.001604,0.001604
7,377.993,1.12795,0.86033,0.9379,0.96019,0.96899,0.98786,0.61652,1.18466,0.81489,0.93673,0.0015248,0.0015248,0.0015248
8,481.762,1.14822,0.84304,0.94272,0.97219,0.97481,0.99212,0.58409,1.27392,0.77458,0.93814,0.0014456,0.0014456,0.0014456
9,565.862,1.11898,0.80989,0.93316,0.95823,0.97801,0.99017,0.61994,1.15648,0.76965,0.92537,0.0013664,0.0013664,0.0013664
10,659.12,1.08964,0.77389,0.92341,0.99416,0.98998,0.9929,0.66789,1.1084,0.6707,0.90525,0.0012872,0.0012872,0.0012872
11,754.508,1.08857,0.75795,0.92522,0.98825,0.99031,0.99232,0.69571,1.03109,0.66615,0.88539,0.001208,0.001208,0.001208
12,849.591,1.0426,0.72281,0.90998,0.99223,0.99013,0.9948,0.72387,0.95192,0.64525,0.8709,0.0011288,0.0011288,0.0011288
13,930.161,1.03158,0.73482,0.91349,0.98846,0.99562,0.99454,0.76487,0.85345,0.62481,0.8594,0.0010496,0.0010496,0.0010496
14,1024.1,1.01705,0.69552,0.90569,0.99031,0.99071,0.99473,0.77038,0.85478,0.578,0.85447,0.0009704,0.0009704,0.0009704
15,1112.66,1.01279,0.66846,0.90681,0.99254,0.99419,0.99496,0.77124,0.85523,0.56272,0.85554,0.0008912,0.0008912,0.0008912
16,1204.41,0.92276,0.63538,0.87741,0.99374,0.99612,0.99488,0.76434,0.85011,0.57521,0.85405,0.000812,0.000812,0.000812
17,1291.81,0.8925,0.61089,0.87631,0.99164,0.99612,0.99492,0.77386,0.86214,0.56574,0.85873,0.0007328,0.0007328,0.0007328
18,1389.62,0.8995,0.6018,0.8835,0.9903,0.99806,0.99494,0.78114,0.81279,0.54387,0.85152,0.0006536,0.0006536,0.0006536
19,1478.82,0.89355,0.57283,0.87559,0.99612,0.99475,0.99488,0.78048,0.82106,0.5305,0.85267,0.0005744,0.0005744,0.0005744
20,1567.62,0.89438,0.5872,0.88301,0.99806,0.99449,0.995,0.73922,0.86496,0.53202,0.85782,0.0004952,0.0004952,0.0004952
21,1654.23,0.88552,0.57615,0.87613,0.99613,0.99749,0.995,0.7577,0.85274,0.51599,0.85415,0.000416,0.000416,0.000416
22,1771.77,0.84241,0.54875,0.86896,0.99366,0.99419,0.99488,0.79114,0.79667,0.4959,0.84846,0.0003368,0.0003368,0.0003368
23,1934.01,0.79824,0.52088,0.85294,0.99966,0.99806,0.995,0.78504,0.81143,0.48136,0.84385,0.0002576,0.0002576,0.0002576
24,2061.06,0.81727,0.50773,0.86178,0.99983,1,0.995,0.78812,0.79759,0.46997,0.84278,0.0001784,0.0001784,0.0001784
25,2210.48,0.77901,0.48943,0.84832,0.99972,1,0.995,0.79701,0.75822,0.46314,0.83968,9.92e-05,9.92e-05,9.92e-05
